Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (MJ);Sum Vert, force blocks (MJ);Sum Horiz, force blocks (MJ);Vert, force blocks row (MJ);Horiz, force blocks row (MJ);Total force blocks row (MJ);% Decrement blocks;% increase Distance;% increase Force
19;19957;5,23;147,39;346,09;9734,082;7347,043;2387,039;6025952;3454449;2584727;122363,3;36992,83;159333,5;98;100,8;98,61
20;19708;5,23;155,14;353,84;9816,344;7395,897;2420,447;6186750;3579529;2622221;123300,1;37502,04;160829;98;100,85;98,6
21;19461;5,23;162,9;361,6;9903,128;7445,403;2457,725;6349143;3702842;2660349;124267;38140,56;162389,4;98;100,88;98,59
22;19215;5,23;170,65;369,35;9993,629;7487,055;2506,574;6513118;3829464;2699239;125080,7;38894,99;164002,2;98;100,91;98,58
0;18970;5;0;369,35;10252,56;7731,22;2521,34;9709084;5261062;4463651;122775,9;39229,5;161990,1;;;
1;18727;5,23;7,76;377,11;10146,5;7762,892;2383,612;9870448;5388987;4500743;124081;37072,12;161157,5;98;98,97;98,56
2;18485;5,25;15,45;384,8;10045,7;7794,071;2251,629;10030590;5515051;4535807;124843,9;35065,87;159895,6;98;99,01;98,54
3;18245;5,26;23,15;392,5;10089,21;7934,898;2154,308;10191450;5641115;4569175;127316,4;33381,16;160723,5;98;100,43;100
4;18007;5,26;30,85;400,21;10003,22;7957,585;2045,64;10351040;5765332;4600893;127949,3;31689,52;159635,3;98;99,15;98,53
5;17770;5,26;38,56;407,91;9924,73;7981;1943,73;10509480;5897129;4631107;128453,8;30163,53;158650,9;98;99,22;98,52
6;17535;5,26;46,26;415,61;9853,805;7997,175;1856,63;10667070;6026967;4659938;128968,4;28804,45;157774,4;98;99,29;98,51
7;17301;5,26;53,96;423,31;9790,501;8013,222;1777,279;10824130;6154860;4687565;129425;27612,48;157006,3;98;99,36;98,5
8;17069;5,26;61,66;431,02;9734,764;8022,881;1711,883;10980700;6280822;4714200;129758,1;26587,31;156348,1;98;99,43;98,49
9;16838;5,26;69,37;438,72;9686,587;8029,706;1656,881;11136780;6413729;4739987;130101,7;25727,6;155800;98;99,51;98,48
10;16609;5,26;77,07;446,42;9645,848;8037,475;1608,373;11292550;6544599;4765048;130325;25031,18;155359,7;98;99,58;98,47
11;16382;5,26;84,77;454,13;9612,371;8037,987;1574,384;11447910;6673448;4789562;130558,7;24495,34;155025,8;98;99,65;98,45
12;16156;5,26;92,48;461,83;9734,587;8165,82;1568,766;11605040;6802297;4813911;132741,5;24284,94;157030,2;98;101,27;100
13;15931;5,26;100,18;469,53;9716,656;8161,403;1555,252;11761780;6937597;4838028;132887,5;24064,61;156923,9;98;99,82;98,44
14;15709;5,26;107,88;477,24;9705,295;8158,23;1547,064;11918510;7070775;4862024;132917,6;23992,77;156914,6;98;99,88;98,43
15;15487;5,26;115,59;484,94;9700,215;8148,343;1551,872;12075410;7201847;4886067;132959;24063,56;156995,3;98;99,95;98,42
16;15268;5,26;123,29;492,64;9700,896;8135,491;1565,406;12232670;7330830;4910343;132888,1;24270,03;157161,6;98;100,01;98,41
17;15050;5,26;130,99;500,35;9706,923;8122,808;1584,115;12390200;7465673;4934958;132828,3;24603,51;157405,4;98;100,06;98,39
18;14833;5,26;138,7;508,05;9717,631;8104,707;1612,925;12548000;7598333;4960003;132659,7;25054,07;157716,9;98;100,11;98,38
19;14618;5,26;146,4;515,75;9732,264;8087,284;1644,98;12706220;7728826;4985579;132501,7;25609,53;158085,3;98;100,15;98,37
0;14405;5;0;515,75;10034,29;8352,799;1681,496;22409590;13008240;9435937;131805,3;26030,6;157817,4;;;
1;14200;5,45;7,44;523,19;9900,142;8323,193;1576,949;22565690;13144140;9460312;132704,2;24442,74;157131,7;98;98,66;98,35
2;13996;5,48;14,81;530,57;9771,093;8289,915;1481,178;22720490;13277780;9483262;132371;22980,69;155366,5;98;98,7;98,34
3;13794;5,48;22,19;537,95;9648,328;8251,737;1396,59;22873740;13409180;9504887;131980,7;21649,55;153647,3;98;98,74;98,33
4;13593;5,48;29,58;545,33;9531,974;8214,711;1317,264;23025380;13538370;9525320;131546,2;20452,44;152010,4;98;98,79;98,31
5;13394;5,49;36,96;552,71;9422,219;8174,525;1247,693;23175500;13665350;9544683;131066,7;19390,99;150464,9;98;98,85;98,3
6;13196;5,49;44,35;560,1;9319,03;8132,97;1186,06;23324160;13790160;9563099;130548,7;18465,95;149013,4;98;98,9;98,28
7;13000;5,49;51,73;567,48;9380,067;8230,903;1149,163;23473850;13928840;9580880;132280,5;17795,18;150065,6;98;100,66;100
8;12805;5,49;59,12;574,87;9290,61;8182,314;1108,296;23622280;14065110;9598118;131688,4;17142,56;148815,4;98;99,05;98,27
9;12612;5,49;66,5;582,25;9207,702;8133,95;1073,752;23769660;14199000;9614906;131047,4;16624,04;147659,9;98;99,11;98,25
10;12420;5,49;73,88;589,64;9131,142;8084,303;1046,839;23916350;14330530;9631340;130377,3;16237,15;146597,7;98;99,17;98,24
11;12230;5,49;81,27;597,02;9060,764;8031,986;1028,777;24062710;14459730;9647495;129625,4;15978,46;145625,9;98;99,23;98,22
12;12041;5,49;88,65;604,41;8996,345;7975,41;1020,935;24208450;14586610;9663445;128884,9;15843,92;144741,1;98;99,29;98,21
13;11853;5,49;96,04;611,79;8937,585;7919,005;1018,58;24353260;14711190;9679292;128104,8;15828,46;143939,7;98;99,35;98,19
14;11667;5,49;103,42;619,18;9049,091;8007,771;1041,321;24499420;14835770;9695368;129647,6;16072,5;145730,5;98;101,25;100
15;11483;5,49;110,81;626,56;9001,62;7947,843;1053,776;24644250;14970310;9711691;128803,8;16283,67;145092;98;99,48;98,17
16;11300;5,49;118,19;633,95;8958,524;7884,158;1074,366;24787880;15102360;9728373;127929,5;16593,27;144517,9;98;99,52;98,16
17;11118;5,49;125,58;641,33;8919,129;7821,386;1097,743;24930510;15231960;9745465;127017,5;16990,53;143998;98;99,56;98,14
0;10938;5;0;641,33;8976,987;7872,131;1104,856;47322390;28217640;19173640;123392,8;17148,33;140549,8;;;
1;10751;5,28;7,68;649,01;8830,233;7807,701;1022,532;47458490;28331050;19190740;123183,7;15906,38;139100,4;98;98,37;98,1
2;10566;5,3;15,3;656,63;8688,878;7738,907;949,972;47591980;28442300;19206760;122300,3;14784,5;137093,1;98;98,4;98,09
3;10383;5,31;22,93;664,26;8554,016;7667,749;886,268;47722890;28573210;19221750;121362,1;13788,03;135140,5;98;98,45;98,07
4;10201;5,31;30,55;671,88;8425,871;7595,702;830,17;47851250;28701570;19235750;120353,8;12919,82;133277,2;98;98,5;98,05
5;10020;5,31;38,18;679,51;8467,073;7674,86;792,213;47979610;28829930;19248780;121737,4;12270,53;133998;98;100,49;100
6;9842;5,31;45,81;687,14;8352,453;7599,659;752,795;48105440;28955760;19260930;120668,4;11661,63;132332,4;98;98,65;98,03
7;9665;5,31;53,44;694,77;8244,661;7522,272;722,389;48228760;29079080;19272270;119573,2;11182,18;130766,2;98;98,71;98,01
8;9489;5,31;61,06;702,39;8143,572;7444,12;699,453;48349610;29199930;19283090;118480,4;10829,9;129298;98;98,77;97,99
9;9315;5,31;68,69;710,02;8049,017;7365,923;683,094;48468000;29318320;19293860;117317,8;10601,37;127925,4;98;98,84;97,97
10;9143;5,31;76,32;717,65;7960,686;7284,933;675,753;48584280;29434280;19304840;116137,4;10492,36;126645,2;98;98,9;97,95
11;8972;5,32;83,95;725,28;7878,333;7201,97;676,364;48699370;29547840;19316130;114961,3;10497,4;125452,6;98;98,97;97,93
12;8803;5,32;91,58;732,91;7801,497;7118,394;683,103;48814840;29659030;19327750;113721,5;10609,66;124341,6;98;99,02;97,91
;1982034;5,2;;732,91;872995,526;630998,715;241996,819;1425326675,05;831634539,344;596353679,35;10311411,848;3757523,2;14068901,3;;;
